LECROYWP725Zi-A,67858,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:24:58,0                 
Time,Ampl
4.41746e-009,-0.0236234
4.46746e-009,-0.0195313
4.51746e-009,-0.0173811
4.56746e-009,-0.0174505
4.61746e-009,-0.00905817
4.66746e-009,0.00148426
4.71746e-009,0.000235818
4.76746e-009,-0.00538219
4.81746e-009,-0.0114857
4.86746e-009,-0.0150923
4.91746e-009,-0.0190457
4.96746e-009,-0.0159246
5.01746e-009,-0.00517412
5.06746e-009,0.00724099
5.11746e-009,0.00675548
5.16746e-009,-0.00115134
5.21746e-009,-0.00572898
5.26746e-009,-0.00309337
5.31746e-009,-0.00538219
5.36746e-009,-0.00350952
5.41746e-009,0.00238592
5.46746e-009,0.00592318
5.51746e-009,0.00654741
5.56746e-009,0.00363437
5.61746e-009,-0.00163685
5.66746e-009,-0.0154391
5.71746e-009,-0.0216814
5.76746e-009,-0.0130809
5.81746e-009,-0.00676935
5.86746e-009,-0.00434182
5.91746e-009,0.00120683
5.96746e-009,-0.00545155
6.01746e-009,-0.0197393
6.06746e-009,-0.0302124
6.11746e-009,-0.0282704
6.16746e-009,-0.0110696
6.21746e-009,-0.00163685
6.26746e-009,-0.00156749
6.31746e-009,-0.0119019
6.36746e-009,-0.0326399
6.41746e-009,-0.0454018
6.46746e-009,-0.0361772
6.51746e-009,-0.0158553
6.56746e-009,-0.00191428
6.61746e-009,0.00495217
6.66746e-009,0.00814264
6.71746e-009,0.0100153
6.76746e-009,0.00994596
6.81746e-009,0.00564575
6.86746e-009,-0.00260787
6.91746e-009,-0.00704679
6.96746e-009,-0.0130116
7.01746e-009,-0.0268832
7.06746e-009,-0.0280623
7.11746e-009,-0.0165489
7.16746e-009,-0.0167569
7.21746e-009,-0.0222362
7.26746e-009,-0.017936
7.31746e-009,-0.00517412
7.36746e-009,-0.000388406
7.41746e-009,-0.00995983
7.46746e-009,-0.0234153
7.51746e-009,-0.0273687
7.56746e-009,-0.025288
7.61746e-009,-0.0232072
7.66746e-009,-0.030906
7.71746e-009,-0.0322931
7.76746e-009,-0.0261203
7.81746e-009,-0.0148149
7.86746e-009,-0.00538219
7.91746e-009,-0.00600641
7.96746e-009,-0.0071855
